audio_path,score,evaluator_id
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_18.wav,5.0,3604305
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_18.wav,5.0,3604392
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_18.wav,5.0,3604393
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_18.wav,5.0,3568529
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_19.wav,2.0,3581129
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_19.wav,3.0,3568115
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_19.wav,4.0,3568872
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_19.wav,4.0,3582060
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_19.wav,4.0,3604132
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_19.wav,5.0,3578977
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_19.wav,5.0,3579292
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_19.wav,5.0,3579855
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_19.wav,5.0,3580016
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_19.wav,5.0,3580123
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_19.wav,5.0,3593796
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_19.wav,5.0,3604393
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_19.wav,5.0,3604473
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_19.wav,5.0,3579987
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_45.wav,3.0,3580013
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_45.wav,4.0,3578977
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_45.wav,4.0,3581187
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_45.wav,5.0,3568706
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_45.wav,5.0,3579928
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_45.wav,5.0,3580016
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_45.wav,5.0,3580053
